,Group,Name,Calories,Water,Protein,Carbohydrates,Fat,Sugar,Sucrose,Glucose,Fructose,Lactose,Maletose,Starch,Fiber,Polyols,Ash,Alcohol,Organic_Acids,Saturated_Fat,Fat_Mono.,Fat_Poly.,DHA,Cholesterol,Salt,Calcium,Choline,Cupper,Iron,Iodine,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Sodium,Zinc,Retinol,Alpha_Carotene,Beta_Carotene,Caffeine,Theobromine,Galactose,Fluoride,Beta_Cryptoxanthin,Lycopene,Lutein&Zeaxathin,Vitamin A,Vitamin_B1,Vitamin_B2,Vitamin_B3,Vitamin_B5,Vitamin_B6,Vitamin_B9,Vitamin_B12,Vitamin_C,Vitamin_D2,Vitamin_D3,Vitamin_D,Vitamin_E,Vitamin_K1,Vitamin_K2
0,mixed salads,Celeriac in remoulade sauce. prepacked,0.0,78.5,1.12,4.19,12.8,2.38,0.0,0.0,0.0,0.0,0.0,1.3,2.87,0.0,1.59,0.0,0.0,1.08,7.73,3.67,0.01,0.1,1.0,28.6,616.0,0.069,0.29,2.0,12.0,0.11,35.0,315.0,10.0,395.0,0.22,2.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.38,0.28,0.19,28.0,0.08,25.2,0.0,0.0,0.5,3.4,0.0,0.0
1,mixed salads,Prepared mixed tuna and vegetable salad. canned. drained,0.0,76.5,9.15,7.74,4.7,3.08,0.0,0.0,0.0,0.0,0.0,4.1,2.7,0.0,1.79,0.0,0.0,0.56,1.83,1.76,0.039,19.2,1.11,20.7,731.0,0.1,1.1,2.0,25.1,0.1,88.4,232.0,0.0,445.0,0.6,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.053,4.45,0.16,0.29,31.0,1.45,2.75,0.0,0.0,0.5,1.6,0.0,0.0
2,mixed salads,Prepared mixed meat/fish canned. drained salad,0.0,76.7,8.06,6.4,5.3,1.9,0.0,0.0,0.0,0.0,0.0,3.3,2.0,0.0,1.5,0.0,0.0,0.16,3.27,1.54,0.15,15.2,0.95,22.0,584.0,0.07,0.7,20.0,20.0,0.1,92.0,220.0,30.0,381.0,0.38,21.0,0.0,781.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032,0.022,4.13,0.2,0.12,11.1,1.23,0.0,0.0,0.0,0.44,2.04,9.75,0.0
3,mixed salads,Greek-style marinated mushrooms,0.0,84.6,2.08,3.95,3.55,2.38,0.0,0.0,0.0,0.0,0.0,0.28,2.35,0.0,1.64,0.0,0.0,0.23,1.74,1.43,0.0,0.11,1.26,22.6,0.0,0.17,0.58,1.91,13.8,0.13,52.2,292.0,1.79,500.0,0.39,0.0,0.0,747.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062,0.2,1.88,0.76,0.11,27.3,0.018,10.3,0.0,0.0,0.0,1.47,0.0,0.0
4,mixed salads,Prepared potatoes salad. home-made,0.0,76.0,2.68,9.9,8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,1.95,0.0,0.0,1.43,2.48,3.74,0.0,68.0,1.33,19.0,0.0,0.12,0.65,0.0,15.0,0.1,52.0,254.0,0.0,529.0,0.31,29.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.077,0.06,0.89,0.53,0.14,7.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
5,mixed salads,Tabbouleh. prepacked,0.0,66.4,4.29,22.2,5.65,3.82,0.0,0.0,0.0,0.0,0.0,13.0,2.27,0.0,1.23,0.0,0.0,0.6,3.3,1.27,0.0026,0.1,0.91,19.9,0.0,0.12,0.72,2.0,27.1,0.3,66.5,207.0,10.0,355.0,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.04,0.83,0.0,0.09,17.0,0.0,14.5,0.0,0.0,0.0,1.68,0.0,0.0
6,mixed salads,Potato salad. piémontaise-style. prepacked,0.0,74.9,4.11,7.98,9.28,1.17,0.0,0.0,0.0,0.0,0.0,0.0,1.51,0.0,1.5,0.0,0.0,1.15,4.06,1.8,0.01,34.2,0.97,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,195.0,0.0,384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.62,0.0,0.0,0.5,2.07,0.0,0.0
7,mixed salads,Prepared rice salad,0.0,72.5,5.13,16.1,4.35,1.0,0.0,0.0,0.0,0.0,0.0,14.3,1.7,0.0,1.49,0.0,0.0,0.53,2.23,0.0,0.013,6.5,1.1,23.3,0.0,0.1,0.43,5.0,13.1,0.1,66.6,143.0,17.7,431.0,0.3,2.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058,0.045,2.65,0.14,0.13,33.5,0.43,4.48,0.0,0.0,0.5,1.63,0.0,0.0
8,mixed salads,Prepared pasta salad. vegetarian,0.0,73.9,5.7,12.9,8.1,2.3,0.0,0.0,0.0,0.0,0.0,10.0,1.7,0.0,0.73,0.0,0.0,2.37,1.46,3.92,0.0,6.0,0.58,14.0,86.0,0.06,0.6,4.0,11.0,0.2,37.0,84.0,0.0,51.0,0.4,7.0,0.0,1180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.4,0.0,0.09,16.0,0.0,21.0,0.0,0.0,0.0,1.95,0.0,0.0
9,mixed salads,Salad. vegetable. without dressing (average),22.3,93.7,1.03,2.5,0.53,2.01,0.0,0.0,0.0,0.0,0.0,0.25,1.51,0.0,0.72,0.0,0.0,0.095,0.2,0.13,0.01,0.059,0.037,27.3,52.6,0.055,0.46,1.92,13.6,0.18,29.4,257.0,3.38,14.8,0.19,0.012,0.0,1770.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044,0.041,0.53,0.22,0.087,39.3,0.0,14.6,0.0,0.0,0.074,0.47,45.3,0.0
10,mixed salads,Prepared pasta salad. with vegetable. meat or fish,0.0,70.3,5.19,14.0,9.94,2.16,0.0,0.0,0.0,0.0,0.0,7.58,1.98,0.0,1.61,0.0,0.0,1.74,5.85,1.91,0.0098,11.0,0.95,18.5,492.0,0.091,0.69,3.13,20.0,0.15,66.2,177.0,5.3,378.0,0.52,16.0,0.0,494.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.069,0.053,1.93,0.24,0.13,14.5,0.23,5.56,0.0,0.0,0.23,0.55,0.0,0.0
11,mixed salads,Caesar's salad (salad. chicken. croûtons. sauce),151.0,71.8,8.13,4.88,10.0,1.71,0.0,0.0,0.0,0.0,0.0,3.17,2.0,0.0,1.54,0.0,1.66,2.36,4.99,2.09,0.01,40.7,0.75,100.0,483.0,0.11,0.5,20.0,19.0,0.15,150.0,300.0,20.0,301.0,0.69,27.9,0.0,627.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.096,0.068,2.29,0.47,0.094,29.3,0.48,1.11,0.0,0.0,0.25,2.24,32.0,0.0
12,mixed salads,Coleslaw. w sauce. prepacked,105.0,80.4,0.94,5.78,8.1,4.72,0.0,0.0,0.0,0.0,0.0,0.35,3.0,1.06,1.45,0.0,0.34,0.63,4.83,2.2,0.01,0.0,0.88,39.0,556.0,0.03,1.3,20.0,9.3,0.26,29.0,210.0,20.0,353.0,0.27,0.0,0.0,1340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026,0.01,0.1,0.21,0.093,14.6,0.0,21.6,0.0,0.0,0.25,2.21,23.0,0.0
13,mixed salads,Tabbouleh with chicken. prepacked,0.0,62.6,6.4,20.6,7.45,2.48,0.0,0.0,0.0,0.0,0.0,16.6,2.02,0.0,1.59,0.0,0.0,0.86,3.78,1.75,0.01,8.24,1.05,18.0,661.0,0.1,0.8,20.0,24.0,0.32,100.0,190.0,20.0,424.0,0.65,21.0,0.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.045,1.16,0.4,0.096,96.5,0.1,0.5,0.0,0.0,0.25,1.48,3.22,0.0
14,soup,Soup. lentils. prepacked. to be reheated,53.2,85.8,3.28,6.6,1.12,0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,1.24,0.0,0.01,0.45,0.52,0.13,0.0,3.0,0.36,25.0,0.0,0.17,1.07,4.0,19.0,0.24,74.0,144.0,16.1,143.0,0.61,0.0,0.0,430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.045,0.55,0.14,0.09,20.0,0.12,1.7,0.0,0.0,0.0,0.0,0.0,0.0
15,soup,Soup. chicken and vegetables. prepacked. to be reheated,30.8,0.0,3.09,2.6,0.8,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,1.75,0.0,0.01,0.3,0.0,0.0,0.0,0.0,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,soup,Soup. fish and/or crustacean. prepacked. to be reheated,42.8,89.4,3.45,2.88,1.79,0.9,0.0,0.0,0.0,0.0,0.0,1.7,0.69,0.0,1.66,0.0,0.01,0.58,0.93,0.25,0.053,30.0,0.86,130.0,611.0,0.07,0.61,70.0,11.0,0.05,80.0,110.0,20.0,343.0,0.25,59.8,0.0,446.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.039,0.63,0.18,0.032,5.0,1.35,0.5,0.0,0.0,0.2,0.32,0.93,0.0
17,soup,Soup. mixed vegetables. dehydrated and reconstituted,34.5,90.9,0.86,4.43,1.22,1.07,0.0,0.0,0.0,0.0,0.0,2.6,1.16,0.0,1.02,0.0,0.01,0.39,0.45,0.091,0.01,2.12,0.69,21.0,426.0,0.03,0.19,1.0,7.0,0.05,12.5,60.0,20.0,276.0,0.12,21.0,0.0,261.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.24,0.13,0.12,0.044,8.4,0.029,3.28,0.0,0.0,0.0,0.19,2.42,0.0
18,soup,Soup. leek and potato. prepacked. to be reheated,37.1,90.8,0.79,4.46,1.51,0.81,0.0,0.0,0.0,0.0,0.0,3.2,1.28,0.0,0.97,0.0,0.01,0.6,0.53,0.27,0.01,4.73,0.73,16.0,450.0,0.02,0.17,20.0,5.6,0.04,16.0,94.0,20.0,290.0,0.13,21.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.23,0.14,0.23,29.3,0.045,7.95,0.0,0.0,0.0,0.28,9.13,0.0
19,soup,Soup. chicken and vermicelli. prepacked. to be reheated,30.8,93.5,1.3,3.86,1.0,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.0,1.01,0.0,0.01,0.49,0.29,0.18,0.0,5.0,0.82,7.96,0.0,0.069,0.14,0.5,7.93,0.057,17.0,30.5,10.0,326.0,0.1,1.0,0.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055,0.045,0.54,0.074,0.02,2.0,0.02,0.0,0.0,0.0,0.0,0.03,0.0,0.0
20,soup,Broth. stock or bouillon. meat and vegetables. dehydrated and reconstituted,5.78,98.1,0.44,0.1,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,1.09,0.0,0.01,0.2,0.09,0.05,0.0,0.0,1.08,1.0,0.0,0.0,0.1,0.0,2.0,0.01,1.0,15.0,0.0,430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.01,0.0,0.02,0.01,12.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,soup,Soup. mushrooms. prepacked. to be reheated,48.2,92.0,0.81,4.09,3.07,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,1.0,0.0,0.01,1.58,0.4,0.96,0.0,3.3,0.78,7.0,490.0,0.016,0.09,8.4,2.0,0.018,12.0,62.0,0.0,312.0,0.06,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.008,0.17,0.072,0.007,1.0,0.0,0.0,0.0,0.0,0.1,0.24,9.6,0.0
22,soup,Soup. carrots. prepacked. to be reheated,33.2,91.2,0.61,3.89,1.41,1.82,0.0,0.0,0.0,0.0,0.0,2.08,1.22,0.0,1.05,0.0,0.01,0.96,0.36,0.029,0.0,0.0,0.65,15.0,0.0,0.0,0.3,0.0,7.0,0.0,20.0,140.0,0.0,259.0,0.0,4.0,0.0,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.65,0.0,0.08,9.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
23,soup,Soup. chorba frik. w meat and frik,62.9,85.1,3.75,5.4,2.5,0.9,0.0,0.0,0.0,0.0,0.0,3.9,1.9,0.0,1.2,0.0,0.01,0.0,0.0,0.0,0.0,11.0,0.84,19.0,0.0,0.07,0.97,2.0,17.0,0.31,54.0,157.0,1.4,337.0,0.84,4.4,0.0,172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.96,0.18,0.07,16.0,0.11,3.2,0.0,0.0,0.02,0.6,0.0,0.0
24,soup,Soup. pistou (basil. garlic and olive oil). dehydrated and reconstituted,30.4,88.2,1.2,5.2,0.35,1.2,0.0,0.0,0.0,0.0,0.0,4.0,0.8,0.0,1.08,0.0,0.01,0.2,0.23,0.06,0.0,1.0,0.64,19.0,0.0,0.1,0.4,1.0,14.0,0.1,24.0,132.0,2.2,256.0,0.19,0.0,0.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,18.0,0.0,7.0,0.0,0.0,0.0,0.2,0.0,0.0
25,soup,Soup. fish and/or crustacean. dehydrated and reconstituted,29.0,90.6,0.91,5.09,0.5,1.06,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,1.15,0.0,0.01,0.14,0.0,0.0,0.0,0.0,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,253.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,soup,Soup. Asian-style with noodles. dehydrated and reconstituted,29.8,93.3,0.97,5.25,0.44,1.21,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.96,0.0,0.01,0.17,0.0,0.0,0.0,0.0,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.8,0.0,334.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,soup,Soup. Moroccan. dehydrated and reconstituted,34.3,90.0,1.2,5.77,0.55,1.49,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.0,1.08,0.0,0.01,0.23,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.5,0.0,318.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,soup,Soup. leek and potato. dehydrated and reconstituted,26.1,92.8,0.63,4.84,0.41,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.8,0.0,0.01,0.2,0.0,0.0,0.0,0.0,0.72,0.0,417.0,0.0,0.0,0.0,0.0,0.0,0.013,0.023,0.0,292.0,0.0,10.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.8,0.27,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0
29,soup,Broth. stock or bouillon. beef. dehydrated and reconstituted,9.05,97.6,0.6,1.33,0.15,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.03,0.0,0.01,0.057,0.068,0.0072,0.0,0.0,0.74,5.25,0.0,0.041,0.15,0.0,2.0,0.027,0.01,0.01,0.0,290.0,0.048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029,0.015,0.55,0.016,0.0083,1.75,0.065,0.0,0.0,0.0,0.0,0.01,0.0,0.0
30,soup,Soup. asparagus. dehydrated and reconstituted,35.3,90.8,0.6,5.14,1.31,0.99,0.0,0.0,0.0,0.0,0.0,2.8,0.28,0.0,0.91,0.0,0.01,0.73,0.0,0.0,0.0,0.0,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.035,0.0,303.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,soup,Soup. tomatoes and vermicelli. prepacked. to be reheated,37.7,0.0,1.1,5.87,0.8,3.43,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.77,0.0,0.01,0.5,0.0,0.0,0.0,0.0,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
32,soup,Soup. cereals and vegetables. dehydrated and reconstituted,47.8,90.0,1.4,6.8,1.4,1.2,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,1.04,0.0,0.01,0.8,0.0,0.0,0.0,0.0,0.78,12.5,0.0,0.0,0.29,0.0,9.35,0.0,0.0,94.0,0.0,312.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.47,0.0,0.07,16.8,0.0,3.84,0.0,0.0,0.0,0.0,0.0,0.0
33,soup,Soup. tomatoes. dehydrated and reconstituted,36.2,90.4,0.76,5.79,0.97,2.44,0.0,0.0,0.0,0.0,0.0,2.4,0.64,0.0,1.03,0.0,0.01,0.32,0.41,0.16,0.01,2.02,0.69,11.0,417.0,0.03,0.14,20.0,5.0,0.04,10.0,65.0,20.0,278.0,0.1,21.0,0.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.017,0.46,0.064,0.027,6.85,0.14,0.5,0.0,0.0,0.0,0.25,1.33,0.0
34,soup,Soup. mushrooms. dehydrated and reconstituted,37.8,91.3,0.65,4.37,1.79,0.63,0.0,0.0,0.0,0.0,0.0,2.3,0.82,0.0,1.06,0.0,0.01,0.73,0.6,0.15,0.01,0.87,0.79,10.0,512.0,0.02,0.02,20.0,2.5,0.03,9.51,48.0,20.0,311.0,0.07,21.0,0.0,14.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.034,0.37,0.16,0.033,8.25,0.028,0.5,0.0,0.0,0.25,0.24,0.8,0.0
35,soup,Soup. pumpkin. prepacked. to be reheated,35.9,91.8,0.67,4.13,1.56,2.37,0.0,0.0,0.0,0.0,0.0,1.1,1.31,0.0,0.95,0.0,0.01,0.88,0.56,0.069,0.01,4.95,0.65,15.0,421.0,0.03,0.14,20.0,5.8,0.04,17.0,130.0,20.0,256.0,0.13,21.0,0.0,2530.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.014,0.1,0.13,0.065,9.35,0.036,0.5,0.0,0.0,0.0,0.51,1.03,0.0
36,soup,Soup. chicken and vermicelli. dehydrated and reconstituted,21.3,94.2,0.75,3.87,0.25,0.31,0.0,0.0,0.0,0.0,0.0,3.4,0.26,0.0,0.74,0.0,0.01,0.081,0.0,0.0,0.01,0.72,0.68,7.2,379.0,0.02,0.1,20.0,3.5,0.05,14.0,36.0,20.0,272.0,0.1,21.0,0.0,20.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.01,0.1,0.041,0.025,0.0,0.026,0.5,0.0,0.0,0.0,0.08,0.8,0.0
37,soup,Soup. pistou (basil. garlic and olive oil). prepacked. to be reheated,31.9,0.0,2.0,4.1,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.9,0.0,0.01,0.2,0.2,0.1,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,soup,Soup. pumpkin. dehydrated and reconstituted,38.3,0.0,0.79,5.61,1.24,2.64,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.0,0.7,0.0,0.01,0.61,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,279.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,soup,Soup. Asian-style with noodles. prepacked. to be reheated,22.3,0.0,0.7,3.4,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.9,0.0,0.01,0.2,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,soup,Soup. watercress. dehydrated and reconstituted,25.1,0.0,0.42,3.95,0.8,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.77,0.0,0.01,0.42,0.0,0.0,0.0,0.0,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,soup,Soup. vegetables with cheese. prepacked. to be reheated,50.2,0.0,1.34,5.09,2.51,1.62,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.67,0.0,0.01,1.58,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,30.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
42,soup,Soup. green vegetables. prepacked. to be reheated,33.4,90.9,1.0,3.84,1.32,0.81,0.0,0.0,0.0,0.0,0.0,3.03,1.05,0.0,0.95,0.0,0.01,0.64,0.51,0.16,0.01,3.52,0.7,24.0,423.0,0.02,0.27,20.0,7.1,0.06,24.0,120.0,20.0,280.0,0.18,21.0,0.0,177.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.042,0.53,0.22,0.25,27.5,0.0,9.0,0.0,0.0,1.52,0.28,16.5,0.0
43,soup,Soup. gazpacho. cold,32.8,91.1,0.65,3.38,1.62,2.32,0.0,0.0,0.0,0.0,0.0,0.35,1.04,0.0,1.13,0.0,0.01,0.27,0.0,0.16,0.01,0.0,0.75,11.0,468.0,0.04,0.11,20.0,8.9,0.06,25.0,210.0,20.0,293.0,0.1,0.0,0.0,291.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.56,0.093,0.041,5.0,0.0,1.98,0.0,0.0,0.25,1.31,52.6,0.0
44,soup,Soup. asparagus. prepacked. to be reheated,133.0,0.0,4.6,4.7,10.4,2.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.98,0.0,0.01,5.1,0.0,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,soup,Soup (average),37.3,90.8,1.22,4.51,1.37,1.62,0.0,0.0,0.0,0.0,0.0,2.07,1.03,0.0,1.04,0.0,0.0,0.58,0.54,0.18,0.01,7.22,0.75,26.8,454.0,0.039,0.26,16.0,7.03,0.061,24.0,108.0,9.39,296.0,0.17,14.8,0.0,1130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049,0.036,0.47,0.22,0.11,15.9,0.22,5.19,0.0,0.0,0.0,0.48,6.87,0.0
46,soup,Miso soup,17.1,94.6,1.38,2.18,0.5,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.29,0.0,0.058,0.0098,0.0098,0.0098,0.0098,0.0,1.1,18.0,661.0,0.06,0.19,70.0,6.9,0.08,19.0,49.0,20.0,438.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.01,0.1,0.068,0.01,16.5,1.98,0.0,0.0,0.0,0.25,0.26,1.15,0.0
47,dishes,Caen-style tripe,117.0,74.0,20.4,0.51,3.68,0.01,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,1.5,0.0,0.0,1.29,1.12,0.18,0.0,119.0,1.06,23.0,0.0,0.0,1.1,6.0,6.4,0.0,0.0,42.5,0.0,423.0,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.37,0.42,0.023,0.0,1.2,0.0,0.0,0.0,0.0,0.47,0.0,0.0
48,dishes,Caen-style tripe. prepacked,112.0,77.9,18.4,0.7,3.62,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,1.1,0.0,0.0,2.1,0.0,0.0,0.0,0.0,1.03,23.6,0.0,0.0,0.9,0.0,6.6,0.0,0.0,34.6,0.0,421.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,dishes,Provencal-type tripe (with tomato),94.1,76.6,15.7,0.6,3.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43,0.0,0.0,1.64,1.28,0.14,0.01,0.0,1.23,0.0,751.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,492.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,dishes,Veal stew in white sauce,113.0,75.1,15.4,3.1,4.0,0.3,0.0,0.0,0.0,0.0,0.0,1.9,0.8,0.0,1.25,0.0,0.32,2.03,1.36,0.26,0.01,56.6,0.74,15.0,432.0,0.07,0.92,20.0,12.0,0.04,110.0,190.0,20.0,295.0,3.2,21.0,0.0,736.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062,0.047,1.77,0.33,0.074,23.3,1.59,0.5,0.0,0.0,0.25,0.37,2.55,0.0
